,year,month,site,block,plot,total,deoc,ipac,deva,other,log_total,station,mean_maxF,mean_minF,precip_in,precip_mm,cum_mammal,shan_mammal,rich_mammal,liz_estimates,mam_estimates,mean_maxC,mean_minC,tempdifF,tempdifC,elevation,rain_year,plotidname,plotID
351,2017,December,Intermediate,3,Open,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,8,0.5895476,2,208,#N/A,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Open.3,20
352,2017,December,Intermediate,3,Partial,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,12,0.748017,2,163,#N/A,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Partial.3,23
353,2017,December,Intermediate,3,Total,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,23,0.687067,2,177,2,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Total.3,26
354,2017,December,Intermediate,1,Open,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,8,0.5895476,2,130,#N/A,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Open.1,2
355,2017,December,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,12,0.748017,2,134,8,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Partial.1,5
356,2017,December,Intermediate,1,Total,0,0,0,0,0,0,Loraine,62.3,36.2,0.04,1.016002032,23,0.687067,2,138,32,16.83333333,2.333333333,26.1,14.5,1290.8,2017/2018,Intermediate.Total.1,8
357,2017,December,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,48,1.1649914,3,#N/A,29,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Open.1,3
358,2017,December,Mesic,1,Partial,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,62,1.3021472,4,#N/A,216,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Partial.1,6
359,2017,December,Mesic,1,Total,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,72,1.1596465,4,#N/A,63,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Total.1,9
360,2017,December,Mesic,2,Open,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,48,1.1649914,3,#N/A,2,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Open.2,12
361,2017,December,Mesic,2,Partial,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,62,1.3021472,4,#N/A,16,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Partial.2,15
362,2017,December,Mesic,2,Total,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,72,1.1596465,4,#N/A,8,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Total.2,18
363,2017,December,Mesic,3,Open,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,48,1.1649914,3,#N/A,13,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Open.3,21
364,2017,December,Mesic,3,Partial,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,62,1.3021472,4,#N/A,#N/A,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Partial.3,24
365,2017,December,Mesic,3,Total,0,0,0,0,0,0,Chuchupate,59.8,23.2,0.53,13.46202692,72,1.1596465,4,#N/A,18,15.44444444,-4.888888889,36.6,20.33333333,1493.5,2017/2018,Mesic.Total.3,27
366,2017,February,Arid,1,Open,0,0,0,0,0,0,Lebec,55.8,38.6,2.76,70.10414021,13,0.5895476,2,52,2,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Open.1,1
367,2017,February,Arid,1,Partial,1,1,0,0,0,0.693147181,Lebec,55.8,38.6,2.76,70.10414021,42,1.0016857,4,74,16,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Partial.1,4
368,2017,February,Arid,1,Total,1,1,0,0,0,0.693147181,Lebec,55.8,38.6,2.76,70.10414021,34,1.2446206,4,68,16,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Total.1,7
369,2017,February,Arid,2,Open,0,0,0,0,0,0,Lebec,55.8,38.6,2.76,70.10414021,13,0.5895476,2,61,6,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Open.2,10
370,2017,February,Arid,2,Partial,0,0,0,0,0,0,Lebec,55.8,38.6,2.76,70.10414021,42,1.0016857,4,73,46,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Partial.2,13
371,2017,February,Arid,2,Total,1,1,0,0,0,0.693147181,Lebec,55.8,38.6,2.76,70.10414021,34,1.2446206,4,61,41,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Total.2,16
372,2017,February,Arid,3,Open,0,0,0,0,0,0,Lebec,55.8,38.6,2.76,70.10414021,13,0.5895476,2,83,3,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Open.3,19
373,2017,February,Arid,3,Partial,1,1,0,0,0,0.693147181,Lebec,55.8,38.6,2.76,70.10414021,42,1.0016857,4,70,#N/A,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Partial.3,22
374,2017,February,Arid,3,Total,1,1,0,0,0,0.693147181,Lebec,55.8,38.6,2.76,70.10414021,34,1.2446206,4,89,16,13.22222222,3.666666667,17.2,9.555555556,1089.7,2016/2017,Arid.Total.3,25
375,2017,February,Intermediate,1,Open,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,8,0.5895476,2,130,#N/A,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Open.1,2
376,2017,February,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,12,0.748017,2,134,8,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Partial.1,5
377,2017,February,Intermediate,1,Total,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,23,0.687067,2,138,32,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Total.1,8
378,2017,February,Intermediate,2,Open,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,8,0.5895476,2,85,6,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Open.2,11
379,2017,February,Intermediate,2,Partial,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,12,0.748017,2,48,2,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Partial.2,14
380,2017,February,Intermediate,2,Total,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,23,0.687067,2,85,#N/A,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Total.2,17
381,2017,February,Intermediate,3,Open,0,0,0,0,0,0,Loraine,55.1,36.9,4.25,107.9502159,8,0.5895476,2,208,#N/A,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Open.3,20
382,2017,February,Intermediate,3,Partial,1,1,0,0,0,0.693147181,Loraine,55.1,36.9,4.25,107.9502159,12,0.748017,2,163,#N/A,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Partial.3,23
383,2017,February,Intermediate,3,Total,1,1,0,0,0,0.693147181,Loraine,55.1,36.9,4.25,107.9502159,23,0.687067,2,177,2,12.83333333,2.722222222,18.2,10.11111111,1290.8,2016/2017,Intermediate.Total.3,26
384,2017,February,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,48,1.1649914,3,#N/A,29,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Open.1,3
385,2017,February,Mesic,1,Partial,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,62,1.3021472,4,#N/A,216,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Partial.1,6
386,2017,February,Mesic,1,Total,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,72,1.1596465,4,#N/A,63,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Total.1,9
387,2017,February,Mesic,2,Open,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,48,1.1649914,3,#N/A,2,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Open.2,12
388,2017,February,Mesic,2,Partial,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,62,1.3021472,4,#N/A,16,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Partial.2,15
389,2017,February,Mesic,2,Total,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,72,1.1596465,4,#N/A,8,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Total.2,18
390,2017,February,Mesic,3,Open,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,48,1.1649914,3,#N/A,13,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Open.3,21
391,2017,February,Mesic,3,Partial,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,62,1.3021472,4,#N/A,#N/A,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Partial.3,24
392,2017,February,Mesic,3,Total,0,0,0,0,0,0,Chuchupate,52,30.2,5.41,137.4142748,72,1.1596465,4,#N/A,18,11.11111111,-1,21.8,12.11111111,1493.5,2016/2017,Mesic.Total.3,27
393,2017,January,Arid,2,Open,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,13,0.5895476,2,61,6,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Open.2,10
394,2017,January,Arid,2,Partial,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,42,1.0016857,4,73,46,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Partial.2,13
395,2017,January,Arid,2,Total,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,34,1.2446206,4,61,41,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Total.2,16
396,2017,January,Arid,1,Open,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,13,0.5895476,2,52,2,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Open.1,1
397,2017,January,Arid,1,Partial,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,42,1.0016857,4,74,16,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Partial.1,4
398,2017,January,Arid,1,Total,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,34,1.2446206,4,68,16,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Total.1,7
399,2017,January,Arid,3,Open,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,13,0.5895476,2,83,3,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Open.3,19
400,2017,January,Arid,3,Partial,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,42,1.0016857,4,70,#N/A,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Partial.3,22
401,2017,January,Arid,3,Total,0,0,0,0,0,0,Lebec,48.3,33.6,5.73,145.5422911,34,1.2446206,4,89,16,9.055555556,0.888888889,14.7,8.166666667,1089.7,2016/2017,Arid.Total.3,25
402,2017,January,Intermediate,3,Open,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,8,0.5895476,2,208,#N/A,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Open.3,20
403,2017,January,Intermediate,3,Partial,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,12,0.748017,2,163,#N/A,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Partial.3,23
404,2017,January,Intermediate,3,Total,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,23,0.687067,2,177,2,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Total.3,26
405,2017,January,Intermediate,2,Open,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,8,0.5895476,2,85,6,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Open.2,11
406,2017,January,Intermediate,2,Total,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,23,0.687067,2,85,#N/A,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Total.2,17
407,2017,January,Intermediate,2,Partial,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,12,0.748017,2,48,2,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Partial.2,14
408,2017,January,Intermediate,1,Total,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,23,0.687067,2,138,32,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Total.1,8
409,2017,January,Intermediate,1,Open,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,8,0.5895476,2,130,#N/A,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Open.1,2
410,2017,January,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,48.6,30.7,9.67,245.6184912,12,0.748017,2,134,8,9.222222222,-0.722222222,17.9,9.944444444,1290.8,2016/2017,Intermediate.Partial.1,5
411,2017,January,Mesic,1,Total,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,72,1.1596465,4,#N/A,63,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Total.1,9
412,2017,January,Mesic,1,Partial,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,62,1.3021472,4,#N/A,216,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Partial.1,6
413,2017,January,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,48,1.1649914,3,#N/A,29,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Open.1,3
414,2017,January,Mesic,2,Total,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,72,1.1596465,4,#N/A,8,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Total.2,18
415,2017,January,Mesic,2,Partial,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,62,1.3021472,4,#N/A,16,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Partial.2,15
416,2017,January,Mesic,2,Open,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,48,1.1649914,3,#N/A,2,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Open.2,12
417,2017,January,Mesic,3,Total,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,72,1.1596465,4,#N/A,18,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Total.3,27
418,2017,January,Mesic,3,Partial,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,62,1.3021472,4,#N/A,#N/A,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Partial.3,24
419,2017,January,Mesic,3,Open,0,0,0,0,0,0,Chuchupate,47.6,24.6,9.07,230.3784608,48,1.1649914,3,#N/A,13,8.666666667,-4.111111111,23,12.77777778,1493.5,2016/2017,Mesic.Open.3,21
420,2017,July,Arid,1,Open,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,13,0.5895476,2,52,2,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Open.1,1
421,2017,July,Arid,1,Partial,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,42,1.0016857,4,74,16,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Partial.1,4
422,2017,July,Arid,1,Total,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,34,1.2446206,4,68,16,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Total.1,7
423,2017,July,Arid,2,Open,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,13,0.5895476,2,61,6,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Open.2,10
424,2017,July,Arid,2,Partial,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,42,1.0016857,4,73,46,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Partial.2,13
425,2017,July,Arid,2,Total,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,34,1.2446206,4,61,41,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Total.2,16
426,2017,July,Arid,3,Open,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,13,0.5895476,2,83,3,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Open.3,19
427,2017,July,Arid,3,Partial,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,42,1.0016857,4,70,#N/A,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Partial.3,22
428,2017,July,Arid,3,Total,0,0,0,0,0,0,Lebec,#N/A,#N/A,#N/A,#N/A,34,1.2446206,4,89,16,#N/A,#N/A,#N/A,#N/A,1089.7,2016/2017,Arid.Total.3,25
429,2017,July,Intermediate,1,Total,2,2,0,0,0,1.098612289,Loraine,93.6,60.8,0,0,23,0.687067,2,138,32,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Total.1,8
430,2017,July,Intermediate,2,Open,1,1,0,0,0,0.693147181,Loraine,93.6,60.8,0,0,8,0.5895476,2,85,6,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Open.2,11
431,2017,July,Intermediate,2,Partial,4,4,0,0,0,1.609437912,Loraine,93.6,60.8,0,0,12,0.748017,2,48,2,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Partial.2,14
432,2017,July,Intermediate,2,Total,2,1,0,1,0,1.098612289,Loraine,93.6,60.8,0,0,23,0.687067,2,85,#N/A,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Total.2,17
433,2017,July,Intermediate,3,Open,1,1,0,0,0,0.693147181,Loraine,93.6,60.8,0,0,8,0.5895476,2,208,#N/A,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Open.3,20
434,2017,July,Intermediate,3,Partial,6,6,0,0,0,1.945910149,Loraine,93.6,60.8,0,0,12,0.748017,2,163,#N/A,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Partial.3,23
435,2017,July,Intermediate,3,Total,8,8,0,0,0,2.197224577,Loraine,93.6,60.8,0,0,23,0.687067,2,177,2,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Total.3,26
436,2017,July,Intermediate,1,Open,0,0,0,0,0,0,Loraine,93.6,60.8,0,0,8,0.5895476,2,130,#N/A,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Open.1,2
437,2017,July,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,93.6,60.8,0,0,12,0.748017,2,134,8,34.22222222,16,32.8,18.22222222,1290.8,2016/2017,Intermediate.Partial.1,5
438,2017,July,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,89.5,49.4,0,0,48,1.1649914,3,#N/A,29,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Open.1,3
439,2017,July,Mesic,1,Partial,6,6,0,0,0,1.945910149,Chuchupate,89.5,49.4,0,0,62,1.3021472,4,#N/A,216,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Partial.1,6
440,2017,July,Mesic,1,Total,4,2,1,1,0,1.609437912,Chuchupate,89.5,49.4,0,0,72,1.1596465,4,#N/A,63,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Total.1,9
441,2017,July,Mesic,2,Open,2,2,0,0,0,1.098612289,Chuchupate,89.5,49.4,0,0,48,1.1649914,3,#N/A,2,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Open.2,12
442,2017,July,Mesic,2,Partial,5,5,0,0,0,1.791759469,Chuchupate,89.5,49.4,0,0,62,1.3021472,4,#N/A,16,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Partial.2,15
443,2017,July,Mesic,2,Total,2,2,0,0,0,1.098612289,Chuchupate,89.5,49.4,0,0,72,1.1596465,4,#N/A,8,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Total.2,18
444,2017,July,Mesic,3,Open,1,1,0,0,0,0.693147181,Chuchupate,89.5,49.4,0,0,48,1.1649914,3,#N/A,13,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Open.3,21
445,2017,July,Mesic,3,Partial,3,1,2,0,0,1.386294361,Chuchupate,89.5,49.4,0,0,62,1.3021472,4,#N/A,#N/A,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Partial.3,24
446,2017,July,Mesic,3,Total,6,6,0,0,0,1.945910149,Chuchupate,89.5,49.4,0,0,72,1.1596465,4,#N/A,18,31.94444444,9.666666667,40.1,22.27777778,1493.5,2016/2017,Mesic.Total.3,27
447,2017,June,Arid,1,Open,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,13,0.5895476,2,52,2,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Open.1,1
448,2017,June,Arid,1,Partial,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,42,1.0016857,4,74,16,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Partial.1,4
449,2017,June,Arid,1,Total,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,34,1.2446206,4,68,16,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Total.1,7
450,2017,June,Arid,2,Open,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,13,0.5895476,2,61,6,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Open.2,10
451,2017,June,Arid,2,Partial,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,42,1.0016857,4,73,46,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Partial.2,13
452,2017,June,Arid,2,Total,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,34,1.2446206,4,61,41,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Total.2,16
453,2017,June,Arid,3,Open,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,13,0.5895476,2,83,3,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Open.3,19
454,2017,June,Arid,3,Partial,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,42,1.0016857,4,70,#N/A,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Partial.3,22
455,2017,June,Arid,3,Total,0,0,0,0,0,0,Lebec,83.9,60.2,#N/A,#N/A,34,1.2446206,4,89,16,28.83333333,15.66666667,23.7,13.16666667,1089.7,2016/2017,Arid.Total.3,25
456,2017,June,Intermediate,2,Open,1,1,0,0,0,0.693147181,Loraine,85.2,53.1,0.01,0.254000508,8,0.5895476,2,85,6,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Open.2,11
457,2017,June,Intermediate,2,Partial,8,8,0,0,0,2.197224577,Loraine,85.2,53.1,0.01,0.254000508,12,0.748017,2,48,2,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Partial.2,14
458,2017,June,Intermediate,2,Total,11,10,1,0,0,2.48490665,Loraine,85.2,53.1,0.01,0.254000508,23,0.687067,2,85,#N/A,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Total.2,17
459,2017,June,Intermediate,3,Open,1,1,0,0,0,0.693147181,Loraine,85.2,53.1,0.01,0.254000508,8,0.5895476,2,208,#N/A,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Open.3,20
460,2017,June,Intermediate,3,Partial,10,10,0,0,0,2.397895273,Loraine,85.2,53.1,0.01,0.254000508,12,0.748017,2,163,#N/A,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Partial.3,23
461,2017,June,Intermediate,3,Total,31,21,8,2,0,3.465735903,Loraine,85.2,53.1,0.01,0.254000508,23,0.687067,2,177,2,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Total.3,26
462,2017,June,Intermediate,1,Open,3,3,0,0,0,1.386294361,Loraine,85.2,53.1,0.01,0.254000508,8,0.5895476,2,130,#N/A,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Open.1,2
463,2017,June,Intermediate,1,Partial,2,2,0,0,0,1.098612289,Loraine,85.2,53.1,0.01,0.254000508,12,0.748017,2,134,8,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Partial.1,5
464,2017,June,Intermediate,1,Total,2,2,0,0,0,1.098612289,Loraine,85.2,53.1,0.01,0.254000508,23,0.687067,2,138,32,29.55555556,11.72222222,32.1,17.83333333,1290.8,2016/2017,Intermediate.Total.1,8
465,2017,June,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,83.7,43,0,0,48,1.1649914,3,#N/A,29,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Open.1,3
466,2017,June,Mesic,1,Partial,2,2,0,0,0,1.098612289,Chuchupate,83.7,43,0,0,62,1.3021472,4,#N/A,216,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Partial.1,6
467,2017,June,Mesic,1,Total,4,4,0,0,0,1.609437912,Chuchupate,83.7,43,0,0,72,1.1596465,4,#N/A,63,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Total.1,9
468,2017,June,Mesic,2,Open,3,3,0,0,0,1.386294361,Chuchupate,83.7,43,0,0,48,1.1649914,3,#N/A,2,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Open.2,12
469,2017,June,Mesic,2,Partial,5,5,0,0,0,1.791759469,Chuchupate,83.7,43,0,0,62,1.3021472,4,#N/A,16,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Partial.2,15
470,2017,June,Mesic,2,Total,6,6,0,0,0,1.945910149,Chuchupate,83.7,43,0,0,72,1.1596465,4,#N/A,8,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Total.2,18
471,2017,June,Mesic,3,Open,6,6,0,0,0,1.945910149,Chuchupate,83.7,43,0,0,48,1.1649914,3,#N/A,13,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Open.3,21
472,2017,June,Mesic,3,Partial,7,6,0,1,0,2.079441542,Chuchupate,83.7,43,0,0,62,1.3021472,4,#N/A,#N/A,28.72222222,6.111111111,40.7,22.61111111,1493.5,2016/2017,Mesic.Partial.3,24
